# Candidate,TrES-3b,,,,,
# Period,1.306186348,,,,,
# All data spans days,5936.616811,,,,,
# All data spans years,16.3,,,,,
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-1713,2454185.911,0.00021,0.00021,18.14,18.14,2013AJ....145...68J; 2009ApJ...691.1145S
-1703,2454198.974,0.00066,0.00066,57.02,57.02,2013AJ....145...68J; 2009ApJ...691.1145S
-1691,2454214.647,0.00036,0.00036,31.1,31.1,2013AJ....145...68J; 2009ApJ...691.1145S
-1690,2454215.953,0.00033,0.00033,28.51,28.51,2013AJ....145...68J; 2009ApJ...691.1145S
-1672,2454239.462,0.00047,0.00047,40.61,40.61,2011PASJ...63..301L
-1659,2454256.446,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1597,2454337.43,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1584,2454354.411,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-1558,2454388.37,0.0034,0.0034,293.76,293.76,2011PASJ...63..301L
-1469,2454504.62,0.0024,0.0024,207.36,207.36,2011PASJ...63..301L
-1456,2454521.598,0.0013,0.0013,112.32,112.32,2011PASJ...63..301L
-1448,2454532.049,0.00033,0.00033,28.51,28.51,2011ApJ...726...94C
-1447,2454533.355,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1446,2454534.663,0.00019,0.00019,16.42,16.42,2013AJ....145...68J; 2009ApJ...700.1078G
-1445,2454535.969,0.00039,0.00039,33.7,33.7,2013AJ....145...68J; 2009ApJ...691.1145S
-1444,2454537.275,0.00038,0.00038,32.83,32.83,2011ApJ...726...94C
-1443,2454538.581,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1442,2454539.887,0.0004,0.0004,34.56,34.56,2011ApJ...726...94C
-1441,2454541.193,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1440,2454542.499,0.00041,0.00041,35.42,35.42,2011ApJ...726...94C
-1433,2454551.644,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
-1432,2454552.95,0.00022,0.00022,19.01,19.01,2013AJ....145...68J; 2009ApJ...691.1145S
-1419,2454569.93,0.0004,0.0004,34.56,34.56,2013AJ....145...68J; 2009ApJ...691.1145S
-1404,2454589.522,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1404,2454589.523,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1401,2454593.443,0.00081,0.00081,69.98,69.98,2011PASJ...63..301L
-1400,2454594.747,0.00037,0.00037,31.97,31.97,2013AJ....145...68J; 2009ApJ...691.1145S
-1397,2454598.663,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1387,2454611.725,0.0027,0.0027,233.28,233.28,2011PASJ...63..301L
-1384,2454615.646,0.00021,0.00021,18.14,18.14,2013AJ....145...68J; 2009ApJ...700.1078G
-1384,2454615.649,0.0023,0.0023,198.72,198.72,2011PASJ...63..301L
-1381,2454619.564,0.0018,0.0018,155.52,155.52,2011PASJ...63..301L
-1375,2454627.403,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1371,2454632.627,0.0002,0.0002,17.28,17.28,2013AJ....145...68J; 2009ApJ...700.1078G
-1365,2454640.465,0.0009,0.0009,77.76,77.76,2011PASJ...63..301L
-1365,2454640.465,0.0009,0.0009,77.76,77.76,2011PASJ...63..301L
-1364,2454641.77,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
-1359,2454648.3,0.0018,0.0018,155.52,155.52,2011PASJ...63..301L
-1358,2454649.607,0.00019,0.00019,16.42,16.42,2013AJ....145...68J; 2009ApJ...700.1078G
-1357,2454650.913,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
-1357,2454650.916,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1355,2454653.525,0.0018,0.0018,155.52,155.52,2011PASJ...63..301L
-1355,2454653.527,0.00092,0.00092,79.49,79.49,2013AJ....145...68J; 2009ApJ...700.1078G
-1352,2454657.444,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1348,2454662.67,0.0006,0.0006,51.84,51.84,2013AJ....145...68J; 2009ApJ...700.1078G
-1342,2454670.507,0.00034,0.00034,29.38,29.38,2013AJ....145...68J; 2009ApJ...700.1078G
-1339,2454674.425,0.00028,0.00028,24.19,24.19,2013AJ....145...68J; 2009ApJ...700.1078G
-1332,2454683.568,0.00042,0.00042,36.29,36.29,2013AJ....145...68J; 2009ApJ...700.1078G
-1329,2454687.486,0.0011,0.0011,95.04,95.04,2011PASJ...63..301L
-1329,2454687.489,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-1316,2454704.466,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-1159,2454909.537,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1158,2454910.844,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1149,2454922.599,0.00079,0.00079,68.26,68.26,2011PASJ...63..301L
-1149,2454922.6,0.00054,0.00054,46.66,46.66,2011PASJ...63..301L
-1146,2454926.519,0.00075,0.00075,64.8,64.8,2011PASJ...63..301L
-1137,2454938.274,0.00038,0.00038,32.83,32.83,2011PASJ...63..301L
-1137,2454938.274,0.00038,0.00038,32.83,32.83,TRESCA
-1133,2454943.5,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1132,2454944.806,0.0014,0.0014,120.96,120.96,2011PASJ...63..301L
-1132,2454944.806,0.0013,0.0013,112.32,112.32,2011PASJ...63..301L
-1130,2454947.416,0.00071,0.00071,61.34,61.34,2011PASJ...63..301L
-1130,2454947.417,0.00089,0.00089,76.9,76.9,2011PASJ...63..301L
-1130,2454947.417,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1130,2454947.417,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-1130,2454947.418,0.00078,0.00078,67.39,67.39,2011PASJ...63..301L
-1124,2454955.255,0.00063,0.00063,54.43,54.43,2011PASJ...63..301L
-1122,2454957.867,0.00048,0.00048,41.47,41.47,2012PASP..124..212S
-1121,2454959.171,0.00057,0.00057,49.25,49.25,2011PASJ...63..301L
-1119,2454961.784,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1117,2454964.398,0.00078,0.00078,67.39,67.39,2011PASJ...63..301L
-1117,2454964.399,0.00081,0.00081,69.98,69.98,2013MNRAS.432..944V
-1117,2454964.399,0.00084,0.00084,72.58,72.58,2013MNRAS.432..944V
-1116,2454965.705,0.0001079,0.0001079,9.32,9.32,2013ApJ...764....8K
-1113,2454969.623,0.0011,0.0011,95.04,95.04,2011PASJ...63..301L
-1110,2454973.542,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
-1110,2454973.542,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1107,2454977.459,0.0016,0.0016,138.24,138.24,2013MNRAS.432..944V
